State,Docket,Date
CA,A2004023,4/30/20
CA,A2004013,4/15/20
CA,A2004001,4/1/20
CA,A1911019,11/22/19
CA,A1910001,10/1/19
CA,A1908013,8/30/19
CA,A1908002,8/1/19
CA,A1907007,7/1/19
CA,A1906001,6/3/19
CA,A1905007,5/31/19
CA,A1904002,4/2/19
CA,A1903023,3/29/19
CA,R1903009,3/14/19
CA,A1903002,3/4/19
CA,A1812009,12/13/18
CA,R1812005,12/13/18
CA,A1812001,12/3/18
CA,A1811015,11/26/18
CA,A1811016,11/26/18
CA,A1804023,4/24/18
CA,R1706026,6/29/17
CA,A1702009,2/27/17
CA,A1603009,3/11/16
CA,R1901006,1/10/19
CA,A1710007,10/6/17
CA,A1608006,8/11/16
CA,A1606013,6/30/16
CA,A1910015,10/25/19
CA,A1904014,4/22/19
CA,A1904015,4/22/19
CA,A1904017,4/22/19
CA,A1810003,10/9/18
CA,A1808001,8/1/18
CA,A1806001,6/1/18
CA,A1806002,6/1/18
CA,A1804002,4/12/18
CA,A1712012,12/21/17
CA,A1712013,12/20/17
CA,A1712003,12/1/17
CA,A1710019,10/31/17
CA,A1709005,9/13/17
CA,A1708017,8/11/17
CA,A1708005,8/1/17
CA,A1707001,7/3/17
CA,A1706005,6/1/17
CA,A1706006,6/1/17
CA,A1706007,6/1/17
CA,A1705004,5/1/17
CA,A1703020,3/30/17
CA,A1612002,12/1/16
CA,A1609001,9/1/16
CA,A1608001,8/1/16
CA,A1512004,12/1/15
CA,A1509001,9/1/15
CA,A1508004,8/3/15
CA,A1506001,6/1/15
CA,A1506002,6/1/15
CA,R1408013,
CA,R1503011,
CA,A1308004,
CA,A1110002,
CA,A1106007,
CA,A1605001,
CA,A1604018,
CA,A1604001,
CA,A1304012,
CA,A1212002,
CA,R1410010,
